clinician_id,name,site,home_service,ward_id,covers_other_services
MD0034,Ronen Ashcombe,A,A-OPHT,A-W3,True
MD0035,Marek Quaid,A,A-OPHT,A-W3,True
MD0036,Lior Iversen,A,A-OPHT,A-W3,True
MD0037,Zara Tarrant,A,A-CARD,A-W3,True
MD0038,Doran Ferro,A,A-CARD,A-W3,True
MD0039,Petra Ellsworth,A,A-CARD,A-W3,True
MD0040,Ilsette Krance,A,A-NEURO,A-W1,True
MD0041,Tavian Moraine,A,A-NEURO,A-W1,True
MD0042,Anselm Galland,A,A-NEURO,A-W1,True
MD0043,Marek Quaid,A,A-THOR,A-W2,True
MD0044,Lior Iversen,A,A-THOR,A-W2,False
MD0045,Sorcha Hale,A,A-THOR,A-W2,False
MD0046,Tavian Galland,A,A-THOR,A-W2,True
MD0047,Anselm Galland,A,A-THOR,A-W2,True
MD0048,Tavian Galland,A,A-PAED,A-W3,True
MD0049,Calla Hale,A,A-PAED,A-W3,True
MD0050,Anselm Ludlow,A,A-PAED,A-W3,False
MD0051,Ronen Iversen,A,A-PAED,A-W3,False
MD0052,Calla Norwood,B,B-ORTH,B-W2,True
MD0053,Corwin Iversen,B,B-ORTH,B-W2,True
MD0054,Balin Galland,B,B-ORTH,B-W2,True
MD0055,Mireille Quaid,B,B-GEN,B-W4,True
MD0056,Vesna Brannagh,B,B-GEN,B-W4,True
MD0057,Petra Ellsworth,B,B-GEN,B-W4,True
MD0058,Petra Norwood,B,B-URO,B-W3,False
MD0059,Odalys Hale,B,B-URO,B-W3,True
MD0060,Corwin Quaid,B,B-URO,B-W3,True
MD0061,Odalys Hale,B,B-URO,B-W3,True
MD0062,Nerys Hale,B,B-URO,B-W3,False
MD0063,Marek Iversen,B,B-ENT,B-W3,True
MD0064,Corwin Iversen,B,B-ENT,B-W3,False
MD0065,Corwin Quaid,B,B-ENT,B-W3,True
MD0066,Ronen Iversen,B,B-ENT,B-W3,True
MD0067,Nerys Hale,B,B-VASC,B-W3,False
MD0068,Sorcha Ellsworth,B,B-VASC,B-W3,True
MD0069,Nerys Norwood,B,B-VASC,B-W3,True
MD0070,Corwin Quaid,B,B-VASC,B-W3,False
MD0071,Avelin Galland,B,B-PLAS,B-W2,True
MD0072,Anselm Moraine,B,B-PLAS,B-W2,True
MD0073,Calla Winterbourne,B,B-PLAS,B-W2,True
MD0074,Odalys Norwood,B,B-PLAS,B-W2,False
MD0075,Sorcha Hale,B,B-GYN,B-W3,True
MD0076,Vesna Brannagh,B,B-GYN,B-W3,False
MD0077,Lior Iversen,B,B-GYN,B-W3,True
MD0078,Corwin Vexley,B,B-OPHT,B-W1,False
MD0079,Marek Ashcombe,B,B-OPHT,B-W1,True
MD0080,Nerys Norwood,B,B-OPHT,B-W1,True
MD0081,Doran Ferro,B,B-OPHT,B-W1,False
MD0082,Corwin Vexley,B,B-OPHT,B-W1,True
MD0083,Petra Hale,B,B-CARD,B-W1,True
MD0084,Balin Moraine,B,B-CARD,B-W1,True
MD0085,Fenwick Galland,B,B-CARD,B-W1,False
MD0086,Calla Norwood,B,B-CARD,B-W1,True
MD0087,Marek Quaid,B,B-NEURO,B-W3,True
MD0088,Fenwick Galland,B,B-NEURO,B-W3,True
MD0089,Anselm Galland,B,B-NEURO,B-W3,False
MD0090,Ilsette Krance,B,B-NEURO,B-W3,True
MD0091,Odalys Norwood,B,B-THOR,B-W2,False
MD0092,Sorcha Hale,B,B-THOR,B-W2,False
MD0093,Tavian Moraine,B,B-THOR,B-W2,False
MD0094,Marek Iversen,B,B-PAED,B-W1,True
MD0095,Odalys Norwood,B,B-PAED,B-W1,False
MD0096,Lior Ashcombe,B,B-PAED,B-W1,True
